buzz,positive,director,actor,distributor,screen,drama,action,comedy,fantasy,advanture,criminal,traditional,romance,animation,documentary,horror,total
150,351,0,0,0,117,1,0,1,0,0,0,0,0,0,0,0,77867
14,3072,0,0,0,61,0,0,0,0,0,0,0,0,1,0,0,130339
253,2861,0,0,19,348,0,0,1,0,0,0,0,1,0,0,0,296730
127,1118,0,1.2,14,362,0,1,0,0,0,1,0,0,0,0,0,289534
103,1325,0,1,3,457,0,1,0,0,0,1,0,0,0,0,0,731532
579,4017,0,1,0,375,0,0,1,0,0,0,0,1,0,0,0,316953
382,5179,0,0.25,15,704,1,0,0,0,1,0,0,0,0,0,0,2007657
65,1823,0,0.333333333,0,434,1,1,0,0,0,1,0,0,0,0,0,180082
534,5859,0,3,15,600,1,0,0,0,0,0,0,0,0,0,0,476653
799,12047,0,1,7,441,0,1,0,0,0,0,0,0,0,0,0,1974893
347,1541,0,0,0,316,1,0,0,0,0,0,0,0,0,0,0,87330
255,4594,0,0,39,509,0,0,1,0,1,0,0,0,1,0,0,1661388
522,7380,0,0.666666667,39,536,0,0,0,0,0,0,0,1,0,0,0,471172
89,566,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,112927
963,6812,0,0.4,11,1003,0,1,0,1,1,0,0,0,0,0,0,4881865
232,224,0,0,0,178,0,0,0,0,0,0,0,0,1,0,0,265697
249,1990,0,0,14,765,0,1,0,0,1,1,0,0,0,0,0,3871045
158,546,0,0,0,334,0,0,0,0,0,0,0,0,1,0,0,171597
113,778,0,0,0,126,1,0,0,0,0,0,0,0,0,0,0,99825
33,557,0,0.2,14,326,0,1,1,0,1,0,0,0,0,0,0,108551
255,5589,0,1.333333333,20,279,0,0,0,0,0,1,0,0,0,0,1,133663
636,35841,0,0.25,11,680,0,1,0,1,0,1,0,0,0,0,0,2744413
1281,13639,3,7,39,1300,0,1,0,0,0,0,1,0,0,0,0,16204777
91,6455,0,0,39,232,0,0,0,0,1,1,0,0,1,0,0,397381
55,8040,0,0,38,113,0,0,0,0,1,1,0,0,1,0,0,257381
75,11984,0,0,38,323,0,0,0,0,0,0,0,0,1,0,0,471205
146,1023,0,0.4,0,290,0,1,1,0,0,0,0,0,0,0,0,78070
224,4342,0,0,8,541,0,0,0,0,0,0,0,0,1,0,0,1515097
410,4059,0,2,1,482,0,0,0,0,0,0,0,1,0,0,0,414663
122,747,0,0,1,230,0,0,0,0,0,0,0,0,1,0,0,319465
369,5859,0,0,14,384,1,0,0,0,0,0,0,1,0,0,0,191113
759,11636,0,0,8,612,0,0,0,0,0,0,0,0,1,0,0,2625599
381,1868,0,0,0,240,1,0,0,0,0,0,0,0,0,0,0,121903
383,8626,0,1.2,17,1199,0,1,0,0,1,1,0,0,0,0,0,6126488
110,1725,0,1,0,394,0,0,0,0,0,1,0,0,0,0,0,149088
517,4930,0,1.5,1,413,0,0,1,0,0,0,0,0,0,0,0,988451
177,969,0,0,0,66,1,0,0,0,0,0,0,0,0,0,0,100180
128,3273,3,0.083333333,11,428,0,0,1,0,1,0,0,0,0,0,0,1101678
61,386,0,0,7,163,0,0,1,0,1,0,0,0,1,0,0,102682
503,16024,0,0.8,14,1624,0,1,0,1,1,0,0,0,0,0,0,2256680
136,479,0,0,17,363,0,0,0,1,0,1,0,0,0,0,0,266610
642,2387,0,0,11,354,1,0,1,0,0,0,0,0,0,0,0,206241
122,1435,0,0,0,338,1,0,0,0,0,0,0,1,0,0,0,103625
848,9952,3,7.5,38,957,1,1,0,0,0,0,0,0,0,0,0,13414200
169,1029,0,0,7,206,1,0,0,0,0,0,0,0,0,0,0,191062
105,1226,0,0,11,90,1,0,0,0,0,0,0,0,0,0,0,175135
211,7601,1,1.4,8,774,0,1,0,0,0,1,0,0,0,0,0,3247955
1152,17219,0,3.4,19,633,0,0,0,1,0,0,0,1,0,0,0,2054303
344,1276,0,0,0,185,0,0,0,0,0,0,0,1,0,0,0,3428795
37,868,0,0,4,266,0,0,1,0,1,0,0,0,1,0,0,311456
145,1261,1,0,1,272,1,0,0,0,0,0,0,0,0,0,0,85223
571,5065,0,0,0,641,0,1,1,0,0,0,0,0,1,0,0,2801949
523,4634,0,2,19,618,0,1,0,0,0,0,0,0,0,0,0,1177438
113,1085,0,0.5,15,394,1,0,0,0,0,0,0,0,0,0,0,446712
96,1000,0,0,17,203,0,0,0,0,1,0,0,0,1,0,0,98495
68,1000,0,0,19,363,0,0,0,0,0,0,0,0,1,0,0,445014
1072,22459,1,2.333333333,16,1123,0,0,0,0,0,0,1,0,0,0,0,6247085
154,2704,0,0,7,384,0,0,0,0,0,0,0,1,0,0,0,278045
400,1836,0,0.4,1,335,1,1,0,0,0,0,0,0,0,0,0,100785
437,8238,0,4.666666667,1,481,0,0,0,0,0,1,0,0,0,0,0,855980
663,8746,0,3.6,0,466,1,0,0,0,0,0,1,0,0,0,0,790370
261,3676,0,0,14,701,1,1,0,0,0,1,0,0,0,0,0,1716455
424,4085,0,2.5,17,499,1,0,0,0,0,0,0,0,0,0,0,609063
346,2973,0,1.666666667,38,607,0,1,0,0,0,1,0,0,0,0,0,1128288
202,1009,0,0,0,281,1,0,1,0,0,0,0,0,0,0,0,86415
74,833,0,0,0,332,0,1,0,1,0,1,0,0,0,0,0,111127
310,12494,0,0,3,831,1,0,0,0,0,1,0,0,0,0,0,1278885
213,5302,0,0.4,1,353,1,0,0,0,0,1,0,0,0,0,0,250517
381,5222,0,2.333333333,0,378,1,0,0,0,0,0,0,0,0,0,0,383582
576,7780,0,6.25,38,493,0,0,0,1,0,0,0,0,0,0,1,828053
205,1243,0,0,0,263,0,0,1,0,1,0,0,0,1,0,0,91790
393,7092,1,1,38,512,1,0,0,0,0,0,1,0,0,0,0,469908
922,31698,0,0.2,0,467,1,0,0,0,0,0,0,0,0,0,0,240458
298,3514,1,0.6,0,351,0,0,0,0,0,0,0,0,0,0,0,341882
243,2911,0,0,11,323,0,0,1,0,1,0,0,0,1,0,0,197235
1217,27413,0,3,19,786,1,0,1,0,0,0,0,0,0,0,0,3044859
1024,14170,1,0,0,903,0,1,0,1,1,0,0,0,0,0,0,3273873
151,2473,0,0,0,267,1,0,0,0,0,0,0,1,0,0,0,564808
195,900,0,0.4,0,79,1,0,0,0,0,0,0,0,0,0,0,112858
823,2016,0,0.4,11,636,1,0,0,0,0,1,0,0,0,0,0,2318958
226,878,1,0,11,351,0,1,1,0,0,0,0,0,0,0,0,266493
132,1122,0,0,0,295,1,0,0,0,0,1,0,0,0,0,0,297650
127,5389,0,0,38,355,0,0,1,0,1,0,0,0,1,0,0,325016
501,8508,1,0.5,10,596,1,0,1,0,0,0,0,0,0,0,0,1169562
324,7164,0,2,33,673,0,0,0,0,0,1,0,0,0,0,0,1202104
98,409,0,0.333333333,17,206,0,0,0,0,0,1,0,0,0,0,0,153087
579,307,1,0,0,424,0,0,0,0,0,0,0,1,0,0,0,716491
273,2102,0,0,0,167,1,0,0,0,0,0,0,0,0,0,0,132216
392,1449,1,0,0,465,1,0,0,0,0,0,0,1,0,0,0,414930
593,12076,1,4.6,38,757,1,0,1,0,0,0,0,1,0,0,0,1715370
159,1106,0,0.75,0,328,0,1,0,0,0,1,0,0,0,0,0,83182
1177,21671,3,3.5,33,1016,1,0,0,0,0,1,0,0,0,0,0,1056919
199,829,0,0,10,331,0,0,1,0,0,0,0,1,0,0,0,78978
161,1802,4,0.8,0,81,0,0,1,0,0,0,0,0,0,0,0,154469
165,1823,0,0.2,14,284,0,1,0,0,0,0,0,0,0,0,0,345759
180,3445,0,2,0,324,1,0,1,0,0,0,0,0,0,0,0,172652
293,5113,0,2.25,38,693,0,0,0,0,0,1,0,0,0,0,0,2192525
575,2251,0,0,10,252,1,0,0,0,0,0,0,1,0,0,0,744387
997,20846,6,4,16,1264,1,1,0,0,0,0,0,0,0,0,0,12705783
161,6159,0,0,11,344,0,0,0,0,0,0,0,0,0,0,1,926027
911,6457,0,0,0,858,0,1,0,1,0,0,0,0,0,0,0,2841795
184,2567,0,0,15,350,0,0,1,0,1,0,0,0,1,0,0,292495
237,2592,0,0,11,419,0,0,0,0,0,0,0,0,1,0,0,467639
674,4537,0,0,1,442,0,0,0,1,1,0,0,0,1,0,0,579127
1365,96176,2,2.4,0,1731,0,1,0,1,1,0,0,0,0,0,0,10494499
282,3318,0,0.2,8,364,1,1,0,0,0,0,0,0,0,0,0,256801
98,4950,0,0,8,297,0,0,0,0,0,1,0,0,0,0,1,219892
242,1559,0,1,8,326,1,0,0,0,1,1,0,0,0,0,0,332180
187,4163,0,0,10,756,1,0,0,0,0,0,0,0,0,0,0,1511845
182,1073,0,0,8,197,0,0,0,1,0,1,0,0,0,0,0,78496
801,14705,2,1,15,1216,0,1,0,1,1,0,0,0,0,0,0,1982522
153,1176,0,0.5,0,390,0,0,1,0,0,0,0,1,0,0,0,214539
645,28626,0,3.666666667,19,667,1,0,0,0,0,0,0,0,0,0,0,6044540
358,8738,1,2.5,19,550,1,0,0,0,0,0,0,0,0,0,0,654407
80,490,0,0,1,378,0,0,1,0,0,0,0,0,0,0,0,79701
1094,19766,2,0,38,577,0,0,1,0,0,0,0,1,0,0,0,1891993
579,8257,0,2,18,840,1,0,0,0,0,0,0,0,0,0,0,1069780
82,2669,0,0,0,256,0,0,0,1,1,0,0,0,1,0,0,298482
478,3593,0,3.5,0,382,0,0,0,0,0,1,0,0,0,0,0,441208
306,747,0,0,11,52,1,0,0,0,0,0,0,0,0,0,0,83761
252,5789,1,4.75,16,517,1,0,1,0,0,0,0,0,0,0,0,970373
229,540,0,0.2,0,252,1,0,0,0,0,0,0,0,0,0,0,144744
344,14521,0,0.2,11,715,0,1,0,1,1,0,0,0,0,0,0,164153
292,4677,0,1.333333333,1,296,0,0,1,0,0,0,0,1,0,0,0,151550
17,925,0,0.333333333,17,326,1,0,0,0,0,0,0,0,0,0,0,136134
212,3408,0,1.2,18,520,1,0,1,0,0,0,0,0,0,0,0,308457
903,3127,0,0,16,326,1,0,0,0,0,0,0,0,0,0,0,1589048
123,2757,1,1.8,0,341,0,0,1,0,0,0,0,1,0,0,0,472693
150,827,0,0.6,0,65,1,0,0,0,0,0,0,0,0,0,0,86751
262,4687,1,2.5,38,385,0,0,0,0,0,1,0,1,0,0,0,145547
504,7140,0,0,1,414,1,0,0,0,0,1,0,0,0,0,0,1744083
87,1568,0,0,0,59,0,0,1,0,0,0,0,0,0,0,0,98016
176,1069,0,0.2,20,306,0,1,0,0,1,1,0,0,0,0,0,152033
270,3102,0,0,0,520,0,0,1,0,0,0,0,0,1,0,0,4969735
158,3194,0,0,17,431,0,1,0,1,0,0,0,0,0,0,0,282707
124,3097,0,0,8,331,0,0,0,0,0,0,0,0,0,0,1,825517
603,11513,5,0,11,1089,0,0,0,1,0,0,0,0,0,0,0,10304503
505,5224,0,0,14,353,0,0,1,0,0,0,0,0,0,0,0,3610722
227,1559,0,0,11,423,0,1,0,0,0,1,0,0,0,0,0,2078825
141,2926,0,0,0,193,0,0,0,0,1,0,0,0,1,0,0,227586
65,898,0,0.666666667,0,43,1,0,0,0,0,0,0,0,0,0,0,92502
792,15600,0,2.5,38,640,1,0,0,0,0,0,0,1,0,0,0,1165780
689,4428,3,1.6,5,681,1,0,0,0,1,0,0,0,0,0,0,511771
149,2777,0,0,11,289,0,1,0,1,1,0,0,0,0,0,0,135874
561,3728,1,5.333333333,0,676,1,0,0,0,0,0,0,0,0,0,0,1755181
583,13233,1,0,17,596,1,0,0,0,0,0,0,0,0,0,0,628568
353,7406,1,4,16,740,0,0,1,0,1,0,1,0,0,0,0,3872015
450,2287,0,0,15,372,1,0,1,0,0,0,0,0,0,0,0,172251
394,3092,0,0,0,321,0,1,0,0,0,1,0,0,0,0,0,116119
550,11032,0,1.4,33,614,0,0,1,0,0,0,0,1,0,0,0,848123
257,2474,0,0,5,557,0,1,0,0,1,0,0,0,1,0,0,4702173
142,1428,0,0,14,546,0,1,0,1,1,0,0,0,0,0,0,309842
698,15462,0,0.2,8,1041,0,1,0,1,1,0,0,0,0,0,0,5546792
104,945,0,2.5,0,53,1,0,0,0,0,0,0,0,0,0,0,80635
42,13051,0,0,0,210,0,0,1,0,1,0,0,0,1,0,0,150226
36,5053,0,0,18,300,0,0,0,0,0,0,0,0,1,0,0,202538
569,5953,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1472181
301,2671,0,0,8,524,0,1,0,0,0,1,0,0,0,0,0,573661
52,2052,0,0,0,166,0,0,0,0,0,0,0,0,1,0,0,155348
59,720,0,0,0,262,0,0,0,0,0,0,0,0,1,0,0,116531
233,3298,0,1.5,1,405,0,1,0,0,0,0,0,0,0,0,0,346483
1511,48999,0,2,0,533,1,0,0,0,0,0,0,0,0,0,0,814424
428,1191,0,0,3,153,1,0,0,0,0,0,0,0,0,0,0,317076
1562,55504,1,1,5,1863,0,1,0,1,0,1,0,0,0,0,0,8661871
229,7907,2,0.4,14,466,0,0,0,0,0,0,0,0,0,0,1,363176
182,1416,0,0,0,323,0,0,1,0,0,0,0,0,0,0,0,190470
369,12441,0,0,33,1126,0,1,0,0,1,0,0,0,1,0,0,3984796
191,1517,0,0,15,489,0,0,0,0,0,1,0,0,0,0,0,357730
456,2480,2,1,11,510,0,1,0,0,0,1,0,0,0,0,0,6129681
303,1321,0,0,0,229,0,0,0,1,0,1,0,0,0,0,0,82246
813,7157,5,1.75,0,768,1,0,0,0,0,0,0,0,0,0,0,4015361
510,3319,0,2,38,486,0,0,1,0,0,1,0,0,0,0,0,2625686
276,6179,2,3.5,33,669,1,1,0,0,0,0,0,0,0,0,0,1428335
446,28154,1,0.6,17,1086,0,1,0,1,1,1,0,0,0,0,0,3240370
501,286,0,0,20,178,0,0,1,0,0,0,0,0,1,0,0,97443
219,8326,1,0.333333333,11,614,0,1,0,0,0,1,0,0,0,0,0,2006561
227,1993,0,2.2,1,331,0,0,0,0,0,1,0,0,0,0,1,120802
171,1272,2,0,0,419,0,1,0,1,1,0,0,0,0,0,0,265810
127,1097,0,0,0,367,1,1,0,0,0,1,0,0,0,0,0,242748
502,2717,0,1.666666667,17,776,0,0,0,0,0,1,0,0,0,0,0,616481
486,3209,0,0.4,11,432,0,1,0,1,0,0,0,0,0,0,0,399667
357,1592,0,0,17,343,0,0,1,0,1,0,0,0,0,0,0,314782
728,39795,0,2,19,518,1,0,1,0,0,0,0,0,0,0,0,594876
272,31,0,0,14,404,0,0,0,1,1,0,0,0,0,0,0,186174
121,1262,0,0,0,352,0,1,0,0,0,1,0,0,0,0,0,295096
44,627,0,0.333333333,14,349,0,0,1,0,0,1,0,1,0,0,0,91164
47,5689,0,0,0,305,0,0,0,1,1,0,0,0,1,0,0,300477
470,4734,0,0.333333333,4,517,1,1,0,0,0,0,0,0,0,0,0,1362114
62,786,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,106456
339,6795,0,0.2,8,530,0,1,0,0,1,0,0,0,0,0,0,681945
205,1338,0,0.8,8,379,1,0,0,0,0,0,0,0,0,0,0,238407
175,1575,1,0.6,14,501,1,1,0,0,1,0,0,0,0,0,0,809827
1519,7489,0,2.8,19,580,1,0,0,0,0,0,0,0,0,0,0,1466940
584,9015,0,2.75,15,556,1,0,0,0,0,0,1,0,0,0,0,485636
1514,4941,1,1.5,20,786,0,0,0,0,1,0,0,0,0,0,0,8646920
553,10731,0,3,19,584,1,0,0,0,0,0,0,0,0,0,0,956103
129,594,0,0.333333333,11,274,0,1,0,0,1,0,0,0,0,0,0,86553
107,2702,0,0.5,11,518,0,1,0,0,1,0,0,0,0,0,0,444927
343,13214,1,0,17,482,0,1,0,0,1,0,0,0,0,0,0,806709
475,14780,1,0.6,20,587,0,0,0,1,1,1,0,0,0,0,0,854377
127,973,0,0.8,0,153,0,1,0,0,0,1,0,0,0,0,0,121276
198,6556,1,2.2,19,368,0,0,1,0,0,0,0,0,0,0,0,523871
503,5465,0,2.333333333,17,572,0,1,0,0,0,0,1,0,0,0,0,431310
641,16936,1,0,11,900,0,0,0,1,1,0,0,0,0,0,0,2836774
162,968,0,0,38,335,0,0,0,1,1,0,0,0,1,0,0,360781
317,3583,0,1,0,315,1,0,0,0,0,0,0,0,0,0,0,142609
935,13693,3,13,38,1009,1,0,0,0,0,0,0,0,0,0,0,7759667
